SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,VolFracViolation,C,la,lp,lo,ln,lz,Lh,Rp,Rn,Rcell,efp,efo,efn,mat,Ns,Np
-140260.16324284184,2.0391893957874907,0.006359367856897371,21317.394820978614,7.714261628765458,-8.084261628765457,0.13829193634993164,1.8114284680339545,2.9117638901838392e-05,4.099983714571102e-05,7.60540853691785e-05,0.000148952492798975,1.7309714259395417e-05,0.0996345102902403,6.609133959404294e-06,4.3063502347790296e-05,0.018138257836940452,0.22081449651214669,0.4322447845260794,0.41523265531170556,LFP,3,39
-71604.6176630982,2.166325825985163,0.01555335603281854,5052.125445055451,23.122507438811873,-23.492507438811874,-0.4883728855434005,1.7925314594377415,2.194175631811535e-05,4.5263946044546016e-05,3.462646220654739e-05,4.704767665241097e-05,2.2094228737545542e-05,0.07547558096372997,2.6336136067570553e-06,3.758312749615438e-05,0.00925890550991626,0.25154481152711927,0.08864269583968153,0.10143960708979874,LCO,7,17
-232976.6820810297,2.5256688593115326,0.004327911671382217,7727.758641850947,11.527405939435946,-11.897405939435945,-0.7019037150338632,0.40082100821374284,2.5635695386577403e-05,0.00017990991463763813,9.518603846086101e-05,5.071570199105088e-05,2.4964452523506555e-05,0.06903285344556223,1.2921888764567435e-05,1.9393775494776043e-05,0.018043852286186702,0.011732974957725364,0.08255941811210887,0.1338038918963027,LCO,4,11
-399300.78122162644,2.125446532079172,0.00036684136359107215,184919.18060991712,23.165583975471286,-23.535583975471287,0.14697239430299003,0.29224874526222133,1.2457893790938598e-05,4.12387657197473e-05,2.4247003506100223e-05,6.627110265327259e-05,2.0038783443987097e-05,0.0844234662135476,1.3609620165862806e-05,2.9381131590360708e-05,0.024298771953543963,0.3641302116760418,0.5800974808748406,0.13274470175210773,LCO,7,97
-51117.642089450375,2.510842328229649,0.0037847973802459076,829.7193916064583,3.8026118422979116,-4.172611842297911,0.32919821009242434,0.31211240261609274,2.543387463712369e-05,0.00018633588984549602,9.667956604474854e-05,0.00013123479162286636,2.5062896293035042e-05,0.09152990085887465,6.968710810513756e-07,1.4521446608754792e-05,0.008805059595310177,0.18305630731032285,0.49253429418003325,0.5836076086020683,LCO,2,11
-508385.2296199187,2.2555786603285957,0.0008973050712071243,160895.05048926015,19.277524046323155,-19.647524046323156,-0.46538442171463973,0.6301317297021831,1.5655807115859348e-05,9.205245331931959e-05,1.0557931055208489e-05,5.001350580404463e-05,2.5378071811073845e-05,0.09264172355031923,1.9560359984278835e-05,4.99342947754009e-05,0.021444042514070935,0.22450825074037434,0.012216858492456222,0.22789046905252977,LFP,6,93
-562799.401809887,2.305411552847195,0.000610658918856482,35622.484406731375,3.834371790197728,-4.204371790197728,-0.24678440301803162,0.34551811979377733,2.7584159991886664e-05,0.00010645530579894135,1.5923931092033504e-05,5.398490623846066e-05,2.2116347068549237e-05,0.08213422856412599,1.1938116525295818e-05,4.4928086215311814e-05,0.021918225472933654,0.0291193544760929,0.5027950893840443,0.15130115312183126,LFP,2,74
-426590.10803453374,2.0991930123647977,0.005948306752878789,180787.78862066817,34.756151079691215,-35.12615107969121,-0.29388330014593156,3.2236432281135836,2.6907438072404325e-05,4.818277038733819e-05,1.900967595248663e-05,5.217653560373749e-05,2.731587654551999e-05,0.09190329621836454,1.1605387368542931e-06,4.796794215348017e-05,0.021820202587572758,0.3471972847907181,0.07831305201794664,0.21060636304540375,LFP,10,72
-408275.9152356905,2.150419699113999,0.007027727159265503,19052.092348179594,3.837757552697703,-4.207757552697704,-0.38335032801212054,1.7559125623006089,2.7535141589347197e-05,0.00011420505389446557,2.689347216370759e-05,0.00011370952936999427,2.2951207823463182e-05,0.09357215500557302,1.618572124722257e-05,4.8511114016826284e-05,0.02067036531570844,0.025114747998244757,0.09103293765617554,0.4305019863334592,LCO,2,35
-13943.060062488841,2.2970865966015666,0.07323145366487802,71.49854016765217,3.7653220370186697,-4.135322037018669,-0.01879700990364619,1.252525204252228,1.2839991306494494e-05,8.155537475669166e-05,1.0495885263620819e-05,5.954667554776111e-05,2.6526199678786696e-05,0.0840806107306484,1.1541849532566532e-05,1.707441321350137e-05,0.00429881688369624,0.5006580975337973,0.15933769623781066,0.25120719632474586,LFP,2,4
-206252.24514861483,2.579114484687989,1.0468777048137088,618.4346220276651,14.878726632011022,-15.24872663201102,0.23019676204392503,1.7673271900575795,2.7251026826063672e-05,0.0001324451849568,1.493603147566946e-05,0.00012971320905968108,1.499512938378021e-05,0.07396394095130743,3.6660415213584477e-06,2.2795210778876853e-05,0.017473580464483628,0.3294120174359727,0.5873454693633362,0.24343927524461617,LCO,5,1
-357913.57229916507,2.0488454550338693,0.0005756450309247667,224285.50801785578,23.19323068386874,-23.563230683868742,-0.5751310363261892,0.38007388588670643,1.787354302450075e-05,4.061635889434423e-05,1.122218288213962e-05,0.00011088388616317382,2.7015810230828313e-05,0.0974068884272854,1.7787508787325477e-05,4.7699162001818324e-05,0.02339099185625771,0.16914267423767432,0.07182020624120994,0.11390608319492661,LFP,7,86
-14832.07093255478,2.1310006608970946,0.0006877152356189262,1782.0890376841328,3.8470267298820935,-4.217026729882093,-0.30436423045973127,0.3008810437082151,2.7586578063260714e-05,5.942330431328723e-05,2.9380169884433052e-05,4.872651110195308e-05,2.236009157359685e-05,0.08640770203530747,5.990501747221081e-07,4.492604940200954e-05,0.004119312324919305,0.388148331757685,0.13388602405834624,0.10360141372423763,LCO,2,99
-47099.49388586085,2.148968680293094,0.000479895233311572,6877.388857813627,3.8456822538351676,-4.215682253835167,-0.3833554360071423,0.29643111812274114,2.360304025979955e-05,6.711472268375303e-05,2.9503947977680077e-05,4.833530174126642e-05,2.2378842781299645e-05,0.08653043449732754,2.937712636824326e-06,4.8439159396701094e-05,0.008481275126021159,0.38326540559848643,0.13258148159546612,0.030797676798905244,LCO,2,85
-37180.56114502986,2.3150637647829106,0.01652463856718102,1659.8775157030948,11.547097952575571,-11.91709795257557,-0.2158222593975112,1.432744348962315,1.774132876938821e-05,4.548655340105853e-05,8.17960110707828e-05,4.6112469260308564e-05,2.975423266784732e-05,0.06455775968734209,1.113587197482342e-05,4.767303668193924e-05,0.008322053926795917,0.10970867366098357,0.10897332306685173,0.49549574387465356,LCO,4,15
-33612.96302936056,2.171294523224006,0.006876024090585046,3448.6097410237417,34.73407311612336,-35.10407311612336,-0.5315001891948663,0.3841507520680781,1.752248752684002e-05,0.00010357945303054504,7.75741871663132e-05,0.0001091464355115634,2.6120157524342597e-05,0.09859786768513273,1.8282266884822902e-05,4.842444863532545e-05,0.007622929571308076,0.30265159826532584,0.0827269034875637,0.013121309052244234,LCO,10,8
-155937.6297285654,2.102898361817263,0.08348644405011643,7048.528867697365,30.653366427723395,-31.023366427723396,-0.5723618216287882,1.8244896789331255,1.739109189670412e-05,4.116079028510337e-05,1.0348686104140078e-05,0.00014720455531948588,1.3281696107756885e-05,0.08140484067832812,1.7551184599058284e-05,3.741951840225659e-05,0.01798017936037407,0.22040768553410306,0.1184176423486553,0.01881285048845338,LFP,9,4
-508385.2296199187,2.210361595572711,0.0008780745995169119,207429.87809831256,23.152315426330542,-23.522315426330543,-0.46084790493424155,0.6295221682290966,1.5806357333787523e-05,9.243129013855941e-05,1.1662798545520423e-05,6.103769714550835e-05,2.66708171871495e-05,0.09931036264664243,1.416569592771859e-05,4.996875257012861e-05,0.02137687600336077,0.18932561560700212,0.06801426217327469,0.21181221728548172,LFP,7,96
-242387.07905279688,2.0333323087842516,0.004098948680825303,137461.91754984518,23.1938854834005,-23.5638854834005,-0.30636306138331426,1.5964144179295836,1.2235140563438978e-05,4.7597488085542494e-05,3.813050375779366e-05,0.00013628533653898677,2.7640000067502732e-05,0.0927368117387549,1.4049885990929067e-06,3.9582123256556886e-05,0.024572340002354975,0.2671926229812655,0.09641497615635611,0.2600293394790642,LFP,7,52
