n_Gen,n_Eval,g_HV,g_R2,g_IGD+,g_e+,g_Dp,n_valid,v_HV,v_R2,v_IGD+,v_e+,v_Dp,min_CV,mean_CV,max_CV,time
0,200,141373898838201.4,9586550.312765887,0.0,0.0,281726.6798488278,4,87776213749244.52,1674179.0282180128,0.0,0.0,0.0,0.0,178.47948133720706,381.7074871906646,0.8254962139999407
1,400,125684494445337.56,7672409.865811283,158.48401343204534,633.8097190357431,280107.6213236516,1,83602023542428.45,1601056.6472001723,158.50454411529236,633.8097190357431,194205.3176643305,0.0,147.69006050152475,381.32320997983226,4.892701221999232
2,600,136417679319979.55,10207385.456827492,7264.542626827734,28636.26261109714,251601.24958252683,1,75472049094035.1,1216002.3756805856,27076.521093847125,107884.03677411424,140988.54883605632,0.0,109.91299240707552,378.6599498065887,11.91161554700011
3,800,141150991806595.72,9071303.52120029,5793.382175497788,28636.26261109714,241040.00825459004,0,-,-,-,-,-,0.08777431807530245,86.99991789664492,370.9460128029245,6.0374662979993445
4,1000,161208723357575.66,9391904.958559763,1514.3084066165493,7243.35892877906,189913.24995636998,1,63254803015745.54,1004329.5282923051,57559.76972892252,168149.47808633995,122930.0526478027,0.0,65.03924620698183,363.39381368113726,13.908814781001638
5,1200,158051679201137.72,12285279.972537743,1445.1653222060147,8670.766522084907,185200.1119726196,2,22030439098871.117,385970.5397899255,172637.78521794023,343947.9208686445,176859.26048304033,0.0,52.11013763829132,371.21152166016697,17.264857195999866
6,1400,158633280489223.4,12285279.972537743,25.40438953995915,195.93837600656815,166011.61648031182,2,48625860131087.836,786716.0173136828,66483.9670244223,229363.566347555,121293.10749757985,0.0,50.46229150757239,328.8306203783683,18.91688008700112
7,1600,161809430173417.4,8415845.187329391,0.8833181630111591,3.369192679187438,119375.70112462889,4,94147920354827.61,1569760.2106066972,9012.255645065807,29257.03831632476,38634.509340293545,0.0,38.482013111386834,328.8306203783683,13.297867613000562
8,1800,170751987049659.8,9817201.846426874,0.9496989331859819,4.285525557573841,114307.02601730134,0,-,-,-,-,-,0.009018028523197441,32.95288031686749,343.3395531528295,21.126676179999777
9,2000,171171799266662.7,10113327.679605583,0.5964490491952502,3.369192679187438,82596.01373809084,3,79335353624892.44,1271898.868336546,15780.765513501217,103212.85309871502,60847.53645659447,0.0,17.954096896864268,316.8507887752136,21.687009024999497
10,2200,171515871693713.34,10113327.679605583,0.4583753486103711,3.369192679187438,77005.19344022282,1,36845735689354.695,597045.1607909147,116540.16305878368,292665.16377747245,129084.25437483024,0.0,15.946860881662241,316.8507887752136,18.049660749000395
