n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,130643844245932.75,1,1,21677668450905.188,0.0,181.51981847989364,385.9283091534792,0.15160887502133846
1,400,144777124456702.84,2,2,86175599483885.92,0.0,184.42731899413317,378.53138107610624,0.8564131669700146
2,600,144509930791556.06,3,3,86181847299308.98,0.0,197.11830854704434,396.5136869108088,0.8388021250138991
3,800,126595654481640.75,6,6,103737519336415.92,0.0,183.74229706268943,382.01314772406215,0.8483872499782592
4,1000,114517612952420.11,12,12,107739469106892.39,0.0,173.03639598838447,391.3575101692527,0.8452767919516191
5,1200,143962826291532.84,15,14,107749313856252.45,0.0,164.0675997863782,382.67278531957993,0.8681899170042016
6,1400,145183244956373.44,34,30,109281254635836.95,0.0,134.70958620076976,388.27658639684256,0.8563595419982448
7,1600,135220149206326.56,61,49,128396967388022.44,0.0,133.15081880006446,385.0545041230258,0.8638897499768063
8,1800,154777486496572.03,87,67,130041893095904.7,0.0,80.30335115619263,374.0565888762538,0.9596565829706378
9,2000,149131770502653.7,113,88,132280985159733.25,0.0,47.26107990581008,377.16457896346805,0.9569772909744643
10,2200,162493201974585.84,191,136,162492236375178.7,0.0,0.33025288443543743,15.36897288780778,0.9951749999891035
11,2400,163880141226160.88,200,144,163880141226160.88,0.0,0.0,0.0,5.954012457979843
12,2600,165870616284569.3,200,139,165870616284569.3,0.0,0.0,0.0,7.366775500006042
13,2800,166707078856615.25,200,150,166707078856615.25,0.0,0.0,0.0,7.775109749985859
14,3000,167142485126232.62,200,157,167142485126232.62,0.0,0.0,0.0,149.06211454200093
15,3200,164833131340662.7,200,169,164833131340662.7,0.0,0.0,0.0,395.21618462499464
16,3400,168483240281300.78,200,176,168483240281300.78,0.0,0.0,0.0,548.5210072500049
17,3600,168563376680383.56,200,170,168563376680383.56,0.0,0.0,0.0,677.1065305419615
18,3800,168837282038161.03,200,173,168837282038161.03,0.0,0.0,0.0,649.6437434590189
19,4000,169477653545698.5,200,172,169477653545698.5,0.0,0.0,0.0,1225.8104515830055
20,4200,170703584874118.53,200,171,170703584874118.53,0.0,0.0,0.0,1982.8230251250206
