SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,VolFracViolation,C,la,lp,lo,ln,lz,Lh,Rp,Rn,Rcell,efp,efo,efn,mat,Ns,Np
-381472.43550675176,2.4894908137200638,0.002115391836039647,4113.003484332438,-0.034940786107525046,-0.33505921389247506,-0.5676998088996202,0.20086177635128877,2.8911954990846044e-05,0.00018271507284961958,3.986945816424387e-05,4.551073200687942e-05,2.9297854314345938e-05,0.09939565368921927,1.801752640563454e-05,4.726444801126937e-05,0.019614937535472006,0.0576421433819487,0.2706632294675763,0.033994818250854805,LFP,1,15
-665811.1023790764,2.3693917936786044,0.0005302259000564305,20568.90092018388,-0.009610379183673246,-0.36038962081632686,-0.7438320835211535,0.20582299141573365,2.118658637772606e-05,0.00011751616589645872,1.4692491339821339e-05,4.192438488573651e-05,2.803545184488534e-05,0.08229662143595118,5.460264792220244e-06,4.070407312073982e-05,0.024653838651969157,0.025148685399339038,0.03129080309398557,0.12972842798552198,LFP,1,56
-14349.27378787581,2.319897095222925,0.0010246172546573289,464.04730869701746,-0.026134407546585692,-0.3438655924534144,-0.6944556873176728,0.21477516852684547,1.772423590423808e-05,0.00019658613429189158,3.626734164832458e-05,0.00013519237576389175,2.775743312014208e-05,0.07820240613705787,1.2803643011049861e-05,3.449527974091536e-05,0.004107394295313609,0.010120948231103086,0.1541984924045318,0.07122487204669231,LCO,1,44
-26686.91766366516,2.3098604045529556,0.00040299933675930514,1055.3212435950195,-0.02609165568259275,-0.34390834431740736,-0.19638303170190807,0.2773760769715079,2.212022746922637e-05,0.0001172526454665089,1.0568597142351076e-05,5.3759475184553555e-05,1.5207921012618146e-05,0.056398133918568696,1.7607839204101334e-05,4.7191355953329484e-05,0.005653983079915444,0.028530920948450427,0.5507484282418258,0.1543376191078158,LFP,1,94
-27238.556713574646,2.452700572398229,0.0059781711285079525,48.804020895019015,-0.04150981398333542,-0.3284901860166647,-0.6115387932954482,0.22291072690377384,1.891565915510065e-05,0.00017397351274818593,1.5710017585451186e-05,6.933636290361803e-05,1.7860164856204427e-05,0.08623632158780797,1.82518605963747e-05,4.910177661216641e-05,0.004966113819929584,0.035932825022553065,0.2657111114870081,0.016817270194990602,LCO,1,3
-21407.36826398968,2.1147250327173177,0.0012386144405325751,251.87325027700223,-0.019382731990968072,-0.35061726800903203,-0.5818155837646848,0.2040579220847521,1.581709048990486e-05,4.8162746545409486e-05,1.1174127710852918e-05,8.084874199153941e-05,2.8135275589794055e-05,0.06883319846717986,9.585355234442525e-06,3.708500742424727e-05,0.004012049049674008,0.13846119304077367,0.056478535149870744,0.15324468804467087,LFP,1,33
-667104.2273279765,2.2855086042043062,0.00029326861228134646,32436.014990559826,-0.02629658349077113,-0.343703416509229,-0.11849517862634429,0.225299718556097,1.25767213521904e-05,8.776286677407869e-05,2.6444688617494152e-05,4.294896863831478e-05,1.8674606586115343e-05,0.09383176074035565,2.9323930905234086e-06,4.607556063273127e-05,0.024723275447340074,0.011885216457270364,0.30552013100300257,0.4940994739133828,LFP,1,92
-37459.44113023062,2.258895764423081,0.10296992184317054,14.184677464789514,-0.052253103535567114,-0.317746896464433,-0.1799626024997505,0.2612856910806634,2.5929262136993947e-05,6.212702096429667e-05,1.1024667584668813e-05,7.112803459843184e-05,1.7475042102819205e-05,0.0753136784510267,1.964176679125233e-05,3.70548510821705e-05,0.005653012097143528,0.1102883267446492,0.259534947456544,0.38021412329905635,LFP,1,1
-505652.4283612187,2.4349759291254345,0.0076913523720399165,1934.2102998441371,-0.034487860375122636,-0.33551213962487747,-0.5535865679787662,0.21677841121333177,1.9900389116449832e-05,0.00017387043400672546,1.0191934874233406e-05,7.702498714514548e-05,2.744220090091186e-05,0.09725440009411336,1.734343199690143e-05,3.9521984191792005e-05,0.02125885891575369,0.04861451748561481,0.29513132245027596,0.03266759208534321,LCO,1,6
-77470.56024133942,2.5858966275537276,0.00029279163093287613,2857.0711934114074,-0.04177164148890711,-0.328228358511093,-0.3361540363864963,0.20867774248523654,1.7679505158818257e-05,0.00021470128770311532,1.0782257088596308e-05,4.0228116695512853e-05,2.5854422863710624e-05,0.04407552869445973,1.6626738203612374e-05,3.520110170620054e-05,0.010006167777493045,0.017712447562876342,0.5102620540436065,0.06587146200702092,LCO,1,95
