n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,99610137618855.11,0,0,-,0.057274999999999854,194.0217853776684,382.0438274663109,0.18158170900278492
1,400,136677952593686.6,0,0,-,0.057274999999999854,183.03002032281728,382.61936497087635,3.2600102500000503
2,600,151711555691011.47,0,0,-,0.017939609233714182,188.21687909264205,382.9458319770719,24.68529145899811
3,800,129803628586776.4,6,6,43906053484489.984,0.0,171.55238513429882,386.4499970863448,24.594943541000248
4,1000,138140074640981.16,9,9,45630594340941.12,0.0,145.83169601506353,381.0928960402149,4.769051750001381
5,1200,155794915005339.38,21,20,133737965358791.7,0.0,118.28219768954594,382.920457205893,2.084178916997189
6,1400,138390866730771.44,38,35,135351526003764.33,0.0,94.88410857582674,379.4747461759501,2.144757166999625
7,1600,146019959904679.38,69,58,145911622737948.03,0.0,58.590970378161366,386.8829840898767,2.158483209001133
8,1800,153058673940161.16,97,82,152991011492465.53,0.0,31.94905239602722,344.33596120610486,2.1283320000002277
9,2000,153905720693237.03,161,120,153894365223688.1,0.0,13.0013807667901,346.6624902922471,3.1772829170004115
10,2200,173623992231447.28,197,155,173623992191591.62,0.0,0.03790389229982764,3.8173091354174242,7.615159292003227
11,2400,173297387218282.72,200,164,173297387218282.72,0.0,0.0,0.0,8.877495000000636
12,2600,177120175047555.75,200,151,177120175047555.75,0.0,0.0,0.0,9.163547583000764
13,2800,178227457394575.16,200,163,178227457394575.16,0.0,0.0,0.0,8.34520908400009
14,3000,187037284313652.78,200,159,187037284313652.78,0.0,0.0,0.0,8.62395099999776
15,3200,186605868827144.28,200,157,186605868827144.28,0.0,0.0,0.0,9.22344024999984
16,3400,189449565391199.88,200,155,189449565391199.88,0.0,0.0,0.0,9.437795833000564
17,3600,200074460726558.06,200,165,200074460726558.06,0.0,0.0,0.0,9.16459841699907
18,3800,201586708382742.4,200,161,201586708382742.4,0.0,0.0,0.0,7.256735083999956
19,4000,201178705753305.78,200,174,201178705753305.78,0.0,0.0,0.0,8.551368165997701
20,4200,200099734027953.53,200,168,200099734027953.53,0.0,0.0,0.0,7.697952459002408
21,4400,202187889939962.25,200,169,202187889939962.25,0.0,0.0,0.0,7.836983000001055
22,4600,201397749043322.7,200,174,201397749043322.7,0.0,0.0,0.0,8.08941845800291
23,4800,202446797549443.12,200,178,202446797549443.12,0.0,0.0,0.0,8.762801624998247
24,5000,201043226503313.16,200,175,201043226503313.16,0.0,0.0,0.0,9.85994616699827
25,5200,202226297628573.22,200,185,202226297628573.22,0.0,0.0,0.0,9.631802874999266
26,5400,201869329929059.34,200,172,201869329929059.34,0.0,0.0,0.0,9.282637542000884
27,5600,202131014795377.56,200,166,202131014795377.56,0.0,0.0,0.0,8.910780957998213
28,5800,201299950802932.25,200,176,201299950802932.25,0.0,0.0,0.0,8.667626041999029
29,6000,200694743525493.06,200,170,200694743525493.06,0.0,0.0,0.0,8.069247915998858
30,6200,202567146400527.03,200,176,202567146400527.03,0.0,0.0,0.0,8.535793333001493
31,6400,202627582562334.62,200,174,202627582562334.62,0.0,0.0,0.0,9.29445154199857
32,6600,205661188286917.16,200,174,205661188286917.16,0.0,0.0,0.0,7.563765667000553
33,6800,205192854982313.72,200,181,205192854982313.72,0.0,0.0,0.0,9.046044667000388
34,7000,206542441442318.72,200,171,206542441442318.72,0.0,0.0,0.0,9.28597479200107
35,7200,206832191070151.1,200,178,206832191070151.1,0.0,0.0,0.0,7.905573290998291
36,7400,205950807202894.88,200,178,205950807202894.88,0.0,0.0,0.0,8.578888832998928
37,7600,205891238466388.62,200,182,205891238466388.62,0.0,0.0,0.0,9.593656792003458
38,7800,206544675705190.56,200,188,206544675705190.56,0.0,0.0,0.0,8.185318541000015
39,8000,206024644313322.16,200,178,206024644313322.16,0.0,0.0,0.0,9.049075457998697
40,8200,206465858419927.38,200,177,206465858419927.38,0.0,0.0,0.0,8.828203875000327
41,8400,206479767349581.06,200,185,206479767349581.06,0.0,0.0,0.0,9.35816979199808
42,8600,206343262451067.84,200,180,206343262451067.84,0.0,0.0,0.0,9.17241683300017
43,8800,206413567928584.84,200,191,206413567928584.84,0.0,0.0,0.0,8.610683625000092
44,9000,207032328541831.94,200,176,207032328541831.94,0.0,0.0,0.0,7.935692833001667
45,9200,206557753536375.7,200,185,206557753536375.7,0.0,0.0,0.0,8.706579165998846
46,9400,205365361392148.1,200,182,205365361392148.1,0.0,0.0,0.0,8.604803750000428
47,9600,205574130115558.3,200,179,205574130115558.3,0.0,0.0,0.0,9.758010749999812
48,9800,203290218695682.47,200,180,203290218695682.47,0.0,0.0,0.0,9.481199542002287
49,10000,204372840126929.44,200,180,204372840126929.44,0.0,0.0,0.0,9.05738554099662
50,10200,204603411414241.25,200,183,204603411414241.25,0.0,0.0,0.0,9.161264083999413
