n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,128047018638486.5,1,1,0.0,0.0,157.33980504546165,329.61445354880266,0.7134756669984199
1,400,94559671571782.61,3,3,24826336799200.65,0.0,146.37700941751723,332.395437069899,0.7758937909966335
2,600,110946368588648.77,4,4,86097246009599.12,0.0,146.0267030224696,332.395437069899,0.786309542003437
3,800,109962583843908.84,10,9,88216221561694.42,0.0,138.16561411756774,324.292012810462,0.7632577909971587
4,1000,115263841628818.23,19,16,89824672207511.31,0.0,138.5874169614428,328.3813236482895,0.7666153339960147
5,1200,120772555757666.03,34,24,91214539354247.47,0.0,107.90770055070901,327.2066247664304,0.7732167920039501
6,1400,121570716516610.53,55,37,104791982424435.05,0.0,70.99413810729104,327.61720379656253,0.7689662920020055
7,1600,118420600751053.03,77,56,107912717892274.98,0.0,59.45655708933755,325.9188635254545,0.9004942089959513
8,1800,150116499949874.75,105,70,149115975504721.62,0.0,52.368667889650105,333.1826130387926,4.1760852500010515
9,2000,152346526636828.78,162,89,151847553961946.12,0.0,11.188515010020197,329.07359157530504,2.2911752500076545
10,2200,153869939128473.78,200,118,153869939128473.78,0.0,0.0,0.0,6.2135742919927
11,2400,154692014895816.0,200,134,154692014895816.0,0.0,0.0,0.0,7.842587374994764
12,2600,155987091100292.03,200,152,155987091100292.03,0.0,0.0,0.0,9.149974999992992
13,2800,155703543921056.94,200,137,155703543921056.94,0.0,0.0,0.0,10.357404959009727
14,3000,162322956125070.38,200,151,162322956125070.38,0.0,0.0,0.0,8.545176250001532
15,3200,165238196838032.4,200,161,165238196838032.4,0.0,0.0,0.0,10.349116167009925
16,3400,166301698018734.3,200,161,166301698018734.3,0.0,0.0,0.0,11.384096708003199
17,3600,164929120935542.28,200,174,164929120935542.28,0.0,0.0,0.0,12.55335112499597
18,3800,165300500768842.72,200,173,165300500768842.72,0.0,0.0,0.0,442.98310795800353
19,4000,165789124459475.94,200,170,165789124459475.94,0.0,0.0,0.0,2480.946297290997
20,4200,165726062704806.22,200,165,165726062704806.22,0.0,0.0,0.0,3130.742784125003
