n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,92629783992112.1,1,1,807836069788.9203,0.0,144.97512959658593,319.85031098249914,0.2605467499997758
1,400,120175829016480.3,4,4,66134372113280.1,0.0,149.66661107286964,332.3969316637364,12.715066290998948
2,600,137606544391259.44,8,8,123577333436030.58,0.0,138.1743069830371,332.58618043548506,11.541614249999839
3,800,136464029520705.38,13,11,127390627133467.03,0.0,122.54885563863057,333.7281328025317,6.658707792001223
4,1000,138549497430061.62,22,19,128015274256215.89,0.0,126.28475080171327,323.4462014951662,7.508678416998009
5,1200,137357980644102.72,46,30,130790809820412.34,0.0,99.48820170266652,328.71786131854094,7.784961707999173
6,1400,137246272747826.05,80,49,133666769027067.42,0.0,68.87280360902855,323.4156815428023,1.9948447910028335
7,1600,147904300032943.6,147,84,146748474914124.97,0.0,46.48938541869083,309.502914995898,2.112327999999252
8,1800,148510800258897.12,168,118,148376409189200.84,0.0,14.89746108549232,329.97521390689474,2.2783049999998184
9,2000,149693980407196.1,177,128,148927285527913.06,0.0,5.688054909538074,207.28493680632457,2.5216937080003845
10,2200,159771035806506.75,198,144,159771010514151.53,0.0,0.20676510798539233,22.505944940563275,2.8109247499996854
11,2400,155176919365206.78,200,142,155176919365206.78,0.0,0.0,0.0,3.015762333001476
12,2600,156358074177553.94,200,153,156358074177553.94,0.0,0.0,0.0,7.580709583002317
13,2800,150109980775008.75,200,171,150109980775008.75,0.0,0.0,0.0,8.842207124998822
14,3000,148793350040804.12,200,179,148793350040804.12,0.0,0.0,0.0,7.985874875001173
15,3200,151394752602331.1,200,170,151394752602331.1,0.0,0.0,0.0,9.594242749997647
16,3400,152167272558598.06,200,170,152167272558598.06,0.0,0.0,0.0,8.009536417001073
17,3600,152118083979931.56,200,173,152118083979931.56,0.0,0.0,0.0,9.696885500001372
18,3800,160518465649030.12,200,171,160518465649030.12,0.0,0.0,0.0,8.490817249999964
19,4000,160249820241923.16,200,175,160249820241923.16,0.0,0.0,0.0,8.361913832999562
20,4200,160028340437922.44,200,164,160028340437922.44,0.0,0.0,0.0,6.978980166997644
21,4400,160297847991297.53,200,165,160297847991297.53,0.0,0.0,0.0,8.474402541000018
22,4600,161367814317053.6,200,158,161367814317053.6,0.0,0.0,0.0,7.315826666999783
23,4800,161265723973468.56,200,180,161265723973468.56,0.0,0.0,0.0,7.380706875002943
24,5000,161194844127478.5,200,149,161194844127478.5,0.0,0.0,0.0,9.323907917001634
25,5200,162692407939803.16,200,157,162692407939803.16,0.0,0.0,0.0,9.236130375000357
26,5400,163700248969347.34,200,169,163700248969347.34,0.0,0.0,0.0,9.285825874998409
27,5600,164739011950792.25,200,151,164739011950792.25,0.0,0.0,0.0,9.572094582999853
28,5800,164257877653312.72,200,175,164257877653312.72,0.0,0.0,0.0,9.440787584000645
29,6000,164250590848517.8,200,178,164250590848517.8,0.0,0.0,0.0,8.829445792001934
30,6200,164114763028097.5,200,181,164114763028097.5,0.0,0.0,0.0,8.425016125002003
31,6400,167413520607483.34,200,174,167413520607483.34,0.0,0.0,0.0,9.329222583000956
32,6600,164902342219485.06,200,166,164902342219485.06,0.0,0.0,0.0,9.073973374997877
33,6800,165254706910737.28,200,174,165254706910737.28,0.0,0.0,0.0,9.026646583999536
34,7000,163656094545348.56,200,167,163656094545348.56,0.0,0.0,0.0,8.72567354200146
35,7200,168322238916242.56,200,172,168322238916242.56,0.0,0.0,0.0,8.499807583997608
36,7400,168800315537574.78,200,163,168800315537574.78,0.0,0.0,0.0,8.270346582998172
37,7600,168425935527128.62,200,171,168425935527128.62,0.0,0.0,0.0,9.011708957998053
38,7800,166493888329385.1,200,165,166493888329385.1,0.0,0.0,0.0,8.759697625002445
39,8000,163413185384292.03,200,182,163413185384292.03,0.0,0.0,0.0,9.854460499998822
40,8200,163787175520461.16,200,183,163787175520461.16,0.0,0.0,0.0,9.355651375000889
41,8400,163164868921960.72,200,173,163164868921960.72,0.0,0.0,0.0,9.265017666999483
42,8600,163009328962173.12,200,174,163009328962173.12,0.0,0.0,0.0,8.988587874999212
43,8800,164566925814516.3,200,176,164566925814516.3,0.0,0.0,0.0,9.043982333998429
44,9000,164658916784155.62,200,181,164658916784155.62,0.0,0.0,0.0,7.986631582996779
45,9200,164566974579119.47,200,176,164566974579119.47,0.0,0.0,0.0,8.148123209000914
46,9400,166895672149805.94,200,178,166895672149805.94,0.0,0.0,0.0,7.964519375000236
47,9600,166206846717731.06,200,178,166206846717731.06,0.0,0.0,0.0,8.860063833999448
48,9800,166433759614549.22,200,179,166433759614549.22,0.0,0.0,0.0,8.0244544590023
49,10000,164641580408475.28,200,181,164641580408475.28,0.0,0.0,0.0,7.853640208999423
50,10200,165273281931145.7,200,180,165273281931145.7,0.0,0.0,0.0,7.432022083001357
