SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,SimTime,Failure,C,la,lp,lo,ln,lz,Lh,Rc,Rp,Rn,ve_p,ve_o,ve_n,mat,Ns,Np
0.0,nan,0.0,0.5701079523786627,-46.238183059333295,41.438183059333284,26.693837399994663,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,1,1
0.0,nan,0.0,11.402159047573255,-46.238183059333295,41.438183059333284,24.943855233002978,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,1,20
0.0,nan,0.0,22.234210142767846,-46.238183059333295,41.438183059333284,25.117939746000047,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,1,39
0.0,nan,0.0,33.066261237962436,-46.238183059333295,41.438183059333284,25.46441684000456,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,1,58
0.0,nan,0.0,43.89831233315703,-46.238183059333295,41.438183059333284,25.210259365994716,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,1,77
7.540180872136316,2.0595452716434585e-15,0.6718779799674905,54.730363428351616,-47.88073200017502,43.08073200017501,26.629650027003663,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,1,96
0.0,nan,0.0,11.402159047573255,32.83633881333418,-37.63633881333419,30.04263667199848,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,20,1
0.0,nan,0.0,228.0431809514651,32.83633881333418,-37.63633881333419,34.79574797300302,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,20,20
0.0,nan,0.0,444.68420285535694,32.83633881333418,-37.63633881333419,26.411819172994,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,20,39
0.0,nan,0.0,661.3252247592487,32.83633881333418,-37.63633881333419,25.874607249999826,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,20,58
0.0,nan,0.0,877.9662466631406,32.83633881333418,-37.63633881333419,25.830184278005618,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,20,77
7.540180872136316,2.0595452716434585e-15,0.6718779799674905,1094.6072685670326,-0.014640003500403509,-4.785359996499608,26.39512969199859,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,20,96
0.0,nan,0.0,22.234210142767846,111.91086068600166,-116.71086068600167,25.932262978996732,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,39,1
0.0,nan,0.0,444.68420285535694,111.91086068600166,-116.71086068600167,25.554310822000843,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,39,20
