ANN,DTR,RFR,SVR
4057607926.2898397,2185834092.968127,1160552756.3338537,15425574334.345371
4280155694.3167596,1722832383.3415966,985089357.6388975,14570852819.048508
3936342085.2055764,1956555601.662447,1042425567.146493,15046468037.431181
3314581760.038791,2044948936.8368063,1067665312.4240341,15001354557.417389
3111773951.1500826,2002892042.874074,863868037.0087512,14101705448.741774
3004865620.2556477,1766478485.0184221,812158626.7731494,14736298587.954672
2968761363.066485,1757743689.8350747,838778265.3005991,15058298854.227808
3236503296.4437747,2011682885.4614022,1103455803.7362716,14650925067.460152
3416092262.377721,2057360359.6225138,1100966297.3572524,14863378904.242222
3853841722.2524257,2110752902.0777178,995088774.296349,14822373839.486914
