ANN,DTR,RFR,SVR
3916785575.8198895,4187966338.175211,2467967109.1302795,11704667471.862894
4100692934.666175,4273631044.093756,2258088264.4072795,12294329638.677013
4130310776.5507026,3787509505.5509357,2528376540.01431,12289290895.241404
4358793927.527289,4209489692.093924,2426475292.94204,12311650114.235603
10075598375.86428,9849400282.593098,7846757650.9002,18311954975.91366
21871379059.288727,21670163983.59807,20250100228.47565,29962278735.487892
3841739813.692459,3146928320.8469377,2147648330.92318,12207404487.75819
4648178972.34748,4301279687.147235,2926505672.8162184,12033161592.460426
4004211523.488826,3460096488.1051817,2345173053.9663897,11693460051.81159
7561128326.612105,7074855494.056775,5759121620.749379,15792333979.09176
