ANN,DTR,RFR,SVR
10946151.19351952,35125445.82542013,14753209.144517552,11102084.536231602
49030610.62349963,51557819.78027772,57647360.57631729,49032183.87626174
930355128.8476396,986350188.9013473,948452329.2035316,928642906.7541511
11633785.423615556,28365398.795748204,12828808.17439415,12808010.891755711
19793008.142311066,41915322.092619404,21385845.77874943,19814338.287521627
38570934.850079484,58011995.44106524,35043106.50725288,38810896.89755619
29716005.06036991,26709886.090461377,28492312.097556233,29724028.457112588
13648017.769984212,9883253.608970916,20091434.90006222,14205587.101362292
627874159.340891,625440033.3854873,622523509.4351583,626696103.8745091
13687059.924317202,11574561.783797896,8605918.342571327,13688843.86242291
